Model,TP,PP,PP_Map,DTYPE,INT8_KV_Cache,Output_Lenght,Batch_Size,Latency,Memory-Pre-Run,Memory-After-Run,Time-Gen-Fingerprint,Time-Gen-Graph,Time-Prof
falcon-7b,1,1,1,float16,False,10,1,0.02066826820373535,1.91912841796875,1.97186279296875,27.279651165008545,54.13711881637573,8.549192428588867
falcon-7b,1,1,1,float16,False,20,1,0.040164788564046226,1.91912841796875,1.97186279296875,27.279651165008545,54.13711881637573,8.513396501541138
falcon-7b,1,1,2,float16,False,10,1,0.027235031127929688,2.31365966796875,2.36639404296875,21.49492597579956,56.815120697021484,9.236094951629639
falcon-7b,1,1,2,float16,False,20,1,0.05337087313334147,2.31365966796875,2.36639404296875,21.49492597579956,56.815120697021484,9.265656232833862
falcon-7b,1,1,1,float16,False,10,2,0.020882050196329754,2.01483154296875,2.08709716796875,0,53.042542457580566,7.721151828765869
falcon-7b,1,1,1,float16,False,20,2,0.04040686289469401,2.01483154296875,2.08709716796875,0,53.042542457580566,7.883877277374268
falcon-7b,1,1,2,float16,False,10,2,0.027948617935180664,2.41717529296875,2.48944091796875,0,57.281633377075195,8.499578714370728
falcon-7b,1,1,2,float16,False,20,2,0.053885698318481445,2.41717529296875,2.48944091796875,0,57.281633377075195,9.356629610061646
falcon-7b,1,1,1,int8,False,10,1,0.01754927635192871,1.72576904296875,1.77850341796875,0,60.3739709854126,8.118396282196045
falcon-7b,1,1,1,int8,False,20,1,0.033808390299479164,1.72576904296875,1.77850341796875,0,60.3739709854126,8.25804591178894
falcon-7b,1,1,2,int8,False,10,1,0.021136999130249023,1.91912841796875,1.97186279296875,0,63.029179096221924,7.5989179611206055
falcon-7b,1,1,2,int8,False,20,1,0.041109959284464516,1.91912841796875,1.97186279296875,0,63.029179096221924,7.767744302749634
falcon-7b,1,1,1,int8,False,10,2,0.01759497324625651,1.82147216796875,1.89373779296875,0,59.97159385681152,7.385635137557983
falcon-7b,1,1,1,int8,False,20,2,0.03392744064331055,1.82147216796875,1.89373779296875,0,59.97159385681152,7.494627475738525
falcon-7b,1,1,2,int8,False,10,2,0.02144169807434082,2.01483154296875,2.08709716796875,0,66.61295247077942,8.479256391525269
falcon-7b,1,1,2,int8,False,20,2,0.04149580001831055,2.01483154296875,2.08709716796875,0,66.61295247077942,8.66750979423523
falcon-7b,1,1,1,int4,False,10,1,0.01594201723734538,1.63006591796875,1.68280029296875,0,58.298564195632935,7.454154014587402
falcon-7b,1,1,1,int4,False,20,1,0.03087019920349121,1.63006591796875,1.68280029296875,0,58.298564195632935,7.462770462036133
falcon-7b,1,1,2,int4,False,10,1,0.01814444859822591,1.72576904296875,1.77850341796875,0,65.8247594833374,8.142650127410889
falcon-7b,1,1,2,int4,False,20,1,0.03523023923238119,1.72576904296875,1.77850341796875,0,65.8247594833374,8.342806100845337
falcon-7b,1,1,1,int4,False,10,2,0.016228596369425457,1.72576904296875,1.79803466796875,0,61.47535681724548,7.50944972038269
falcon-7b,1,1,1,int4,False,20,2,0.03146775563557943,1.72576904296875,1.79803466796875,0,61.47535681724548,7.427277326583862
falcon-7b,1,1,2,int4,False,10,2,0.018567721048990887,1.82147216796875,1.89373779296875,0,65.8854079246521,7.534583330154419
falcon-7b,1,1,2,int4,False,20,2,0.036003828048706055,1.82147216796875,1.89373779296875,0,65.8854079246521,7.5793843269348145
falcon-7b,1,2,1 1,float16,False,10,1,0.02777258555094401,3.0238037109375,3.2386474609375,0,79.64141321182251,10.17862343788147
falcon-7b,1,2,1 1,float16,False,20,1,0.05492218335469564,3.0238037109375,3.2386474609375,0,79.64141321182251,10.136208057403564
falcon-7b,1,2,2 1,float16,False,10,1,0.0345145066579183,3.4593505859375,3.6331787109375,26.261821031570435,82.02903032302856,10.458402395248413
falcon-7b,1,2,2 1,float16,False,20,1,0.06726471583048503,3.4593505859375,3.6331787109375,26.261821031570435,82.02903032302856,10.357478857040405
falcon-7b,1,2,1 1,float16,False,10,2,0.028029998143513996,3.2152099609375,3.4495849609375,0,80.93115663528442,9.830019235610962
falcon-7b,1,2,1 1,float16,False,20,2,0.05675005912780762,3.2152099609375,3.4495849609375,0,80.93115663528442,10.037665605545044
falcon-7b,1,2,2 1,float16,False,10,2,0.03470110893249512,3.6585693359375,3.8519287109375,0,80.0792555809021,10.094951629638672
falcon-7b,1,2,2 1,float16,False,20,2,0.06805753707885742,3.6585693359375,3.8519287109375,0,80.0792555809021,10.196904182434082
falcon-7b,1,2,1 1,int8,False,10,1,0.021904389063517254,2.6370849609375,2.8460693359375,0,87.77548432350159,9.761615753173828
falcon-7b,1,2,1 1,int8,False,20,1,0.04199401537577311,2.6370849609375,2.8460693359375,0,87.77548432350159,9.683732748031616
falcon-7b,1,2,2 1,int8,False,10,1,0.02515125274658203,2.8304443359375,3.0394287109375,0,89.35138201713562,9.609585523605347
falcon-7b,1,2,2 1,int8,False,20,1,0.04853614171346029,2.8304443359375,3.0394287109375,0,89.35138201713562,10.007872819900513
falcon-7b,1,2,1 1,int8,False,10,2,0.022267500559488933,2.8284912109375,3.0570068359375,0,89.23696565628052,10.005015850067139
falcon-7b,1,2,1 1,int8,False,20,2,0.043129920959472656,2.8284912109375,3.0570068359375,0,89.23696565628052,10.059306144714355
falcon-7b,1,2,2 1,int8,False,10,2,0.02541669209798177,3.0218505859375,3.2503662109375,0,93.1633894443512,10.045427322387695
falcon-7b,1,2,2 1,int8,False,20,2,0.04969326655069987,3.0218505859375,3.2503662109375,0,93.1633894443512,10.211508512496948
falcon-7b,1,2,1 1,int4,False,10,1,0.018713951110839844,2.4456787109375,2.6546630859375,0,86.3634090423584,9.465036630630493
falcon-7b,1,2,1 1,int4,False,20,1,0.03632251421610514,2.4456787109375,2.6546630859375,0,86.3634090423584,9.571125030517578
falcon-7b,1,2,2 1,int4,False,10,1,0.02062201499938965,2.5413818359375,2.7503662109375,0,93.25248146057129,9.592800617218018
falcon-7b,1,2,2 1,int4,False,20,1,0.040551344553629555,2.5413818359375,2.7503662109375,0,93.25248146057129,9.803876876831055
falcon-7b,1,2,1 1,int4,False,10,2,0.019173145294189453,2.6370849609375,2.8656005859375,0,88.64965057373047,9.465776205062866
falcon-7b,1,2,1 1,int4,False,20,2,0.03726037343343099,2.6370849609375,2.8656005859375,0,88.64965057373047,9.690664529800415
falcon-7b,1,2,2 1,int4,False,10,2,0.021174192428588867,2.7327880859375,2.9613037109375,0,94.88727974891663,9.566810131072998
falcon-7b,1,2,2 1,int4,False,20,2,0.04138350486755371,2.7327880859375,2.9613037109375,0,94.88727974891663,9.875057697296143
falcon-40b,1,1,1,float16,False,10,1,0.04123814900716146,3.76092529296875,3.81365966796875,98.0294919013977,78.71238207817078,8.931617259979248
falcon-40b,1,1,1,float16,False,20,1,0.08140500386555989,3.76092529296875,3.81365966796875,98.0294919013977,78.71238207817078,9.30148720741272
falcon-40b,1,1,2,float16,False,10,1,0.061585426330566406,5.05975341796875,5.11248779296875,94.56045579910278,88.7878270149231,11.561649560928345
falcon-40b,1,1,2,float16,False,20,1,0.12217036883036296,5.05975341796875,5.11248779296875,94.56045579910278,88.7878270149231,13.537873029708862
falcon-40b,1,1,1,float16,False,10,2,0.04108444849650065,3.93280029296875,4.00506591796875,0,82.40798997879028,10.140483617782593
falcon-40b,1,1,1,float16,False,20,2,0.08117445309956868,3.93280029296875,4.00506591796875,0,82.40798997879028,11.263391494750977
falcon-40b,1,1,2,float16,False,10,2,0.061705827713012695,5.22967529296875,5.30194091796875,0,87.56919074058533,10.032477378845215
falcon-40b,1,1,2,float16,False,20,2,0.12217497825622559,5.22967529296875,5.30194091796875,0,87.56919074058533,10.58665418624878
falcon-40b,1,1,1,int8,False,10,1,0.03110647201538086,3.12811279296875,3.18084716796875,0,101.00190377235413,8.452775239944458
falcon-40b,1,1,1,int8,False,20,1,0.061176141103108726,3.12811279296875,3.18084716796875,0,101.00190377235413,8.651307821273804
falcon-40b,1,1,2,int8,False,10,1,0.04139192899068197,3.77850341796875,3.83123779296875,0,113.34712147712708,8.895825624465942
falcon-40b,1,1,2,int8,False,20,1,0.08165478706359863,3.77850341796875,3.83123779296875,0,113.34712147712708,9.309775352478027
falcon-40b,1,1,1,int8,False,10,2,0.030428409576416016,3.29998779296875,3.37225341796875,0,114.55203866958618,9.201403617858887
falcon-40b,1,1,1,int8,False,20,2,0.06001861890157064,3.29998779296875,3.37225341796875,0,114.55203866958618,10.096433162689209
falcon-40b,1,1,2,int8,False,10,2,0.04092637697855631,3.96405029296875,4.03631591796875,0,129.51652836799622,9.85671067237854
falcon-40b,1,1,2,int8,False,20,2,0.08082437515258789,3.96405029296875,4.03631591796875,0,129.51652836799622,10.274255514144897
falcon-40b,1,1,1,int4,False,10,1,0.026441176732381184,2.81170654296875,2.86444091796875,0,102.90186476707458,9.106815099716187
falcon-40b,1,1,1,int4,False,20,1,0.051756858825683594,2.81170654296875,2.86444091796875,0,102.90186476707458,9.815907716751099
falcon-40b,1,1,2,int4,False,10,1,0.03212443987528483,3.14569091796875,3.19842529296875,0,117.61821794509888,9.52681040763855
falcon-40b,1,1,2,int4,False,20,1,0.06304065386454265,3.14569091796875,3.19842529296875,0,117.61821794509888,10.387714624404907
falcon-40b,1,1,1,int4,False,10,2,0.02624376614888509,2.98358154296875,3.05584716796875,0,113.63246560096741,9.407411336898804
falcon-40b,1,1,1,int4,False,20,2,0.05121835072835287,2.98358154296875,3.05584716796875,0,113.63246560096741,9.239355325698853
falcon-40b,1,1,2,int4,False,10,2,0.03200491269429525,3.33123779296875,3.40350341796875,0,128.02182745933533,9.519942283630371
falcon-40b,1,1,2,int4,False,20,2,0.06319244702657063,3.33123779296875,3.40350341796875,0,128.02182745933533,9.356886625289917
falcon-40b,1,2,1 1,float16,False,10,1,0.06409398714701335,5.8245849609375,6.0394287109375,0,122.81888628005981,11.656050443649292
falcon-40b,1,2,1 1,float16,False,20,1,0.12338749567667644,5.8245849609375,6.0394287109375,0,122.81888628005981,11.981446027755737
falcon-40b,1,2,2 1,float16,False,10,1,0.08221761385599773,7.1663818359375,7.3382568359375,95.74296021461487,131.12130451202393,11.63675045967102
falcon-40b,1,2,2 1,float16,False,20,1,0.16445072491963705,7.1663818359375,7.3382568359375,95.74296021461487,131.12130451202393,12.262157440185547
falcon-40b,1,2,1 1,float16,False,10,2,0.06307697296142578,6.1683349609375,6.4027099609375,0,123.82064652442932,10.919435501098633
falcon-40b,1,2,1 1,float16,False,20,2,0.1253065268198649,6.1683349609375,6.4027099609375,0,123.82064652442932,11.477193355560303
falcon-40b,1,2,2 1,float16,False,10,2,0.0827027161916097,7.5374755859375,7.6995849609375,0,132.27923464775085,12.355774641036987
falcon-40b,1,2,2 1,float16,False,20,2,0.16562151908874512,7.5277099609375,7.6995849609375,0,132.27923464775085,13.197869062423706
falcon-40b,1,2,1 1,int8,False,10,1,0.04202731450398763,4.5589599609375,4.7679443359375,0,153.5635166168213,10.727547407150269
falcon-40b,1,2,1 1,int8,False,20,1,0.08296569188435872,4.5589599609375,4.7679443359375,0,153.5635166168213,11.167668342590332
falcon-40b,1,2,2 1,int8,False,10,1,0.051973581314086914,5.2093505859375,5.4183349609375,0,167.50719952583313,11.22209882736206
falcon-40b,1,2,2 1,int8,False,20,1,0.10297552744547527,5.2503662109375,5.4183349609375,0,167.50719952583313,12.24109959602356
falcon-40b,1,2,1 1,int8,False,10,2,0.042439540227254234,4.9027099609375,5.1312255859375,0,165.57930541038513,10.842915534973145
falcon-40b,1,2,1 1,int8,False,20,2,0.08230408032735188,4.9027099609375,5.1312255859375,0,165.57930541038513,11.51130747795105
falcon-40b,1,2,2 1,int8,False,10,2,0.051815191904703774,5.6077880859375,5.7952880859375,0,178.58353900909424,10.324494361877441
falcon-40b,1,2,2 1,int8,False,20,2,0.10236986478169759,5.6077880859375,5.7952880859375,0,178.58353900909424,10.828248500823975
falcon-40b,1,2,1 1,int4,False,10,1,0.032518625259399414,3.9261474609375,4.1351318359375,0,152.71300840377808,9.89600920677185
falcon-40b,1,2,1 1,int4,False,20,1,0.06458091735839844,3.9261474609375,4.1351318359375,0,152.71300840377808,10.634541034698486
falcon-40b,1,2,2 1,int4,False,10,1,0.037948926289876304,4.2601318359375,4.4691162109375,0,171.56448483467102,10.807031869888306
falcon-40b,1,2,2 1,int4,False,20,1,0.07461158434549968,4.2601318359375,4.4691162109375,0,171.56448483467102,11.271220445632935
falcon-40b,1,2,1 1,int4,False,10,2,0.03412159283955892,4.2698974609375,4.4984130859375,0,166.25530576705933,9.953734159469604
falcon-40b,1,2,1 1,int4,False,20,2,0.06447577476501465,4.2698974609375,4.4984130859375,0,166.25530576705933,10.158179521560669
falcon-40b,1,2,2 1,int4,False,10,2,0.03842949867248535,4.6175537109375,4.8460693359375,0,178.7819309234619,10.273396968841553
falcon-40b,1,2,2 1,int4,False,20,2,0.07563130060831706,4.6175537109375,4.8460693359375,0,178.7819309234619,10.405965328216553
falcon-40b,2,1,1,float16,False,10,1,0.02738300959269206,5.3499755859375,6.039794921875,0,122.67460799217224,11.427881956100464
falcon-40b,2,1,1,float16,False,20,1,0.04995433489481608,5.3499755859375,6.039794921875,0,122.67460799217224,11.425158023834229
falcon-40b,2,1,2,float16,False,10,1,0.0382840633392334,6.6468505859375,7.336669921875,0,129.60254001617432,11.446353435516357
falcon-40b,2,1,2,float16,False,20,1,0.07147725423177083,6.6468505859375,7.336669921875,0,129.60254001617432,11.535057306289673
falcon-40b,2,1,1,float16,False,10,2,0.027843713760375977,5.5687255859375,6.297607421875,0,123.24503350257874,10.28920865058899
falcon-40b,2,1,1,float16,False,20,2,0.05092930793762207,5.5687255859375,6.297607421875,0,123.24503350257874,10.475589752197266
falcon-40b,2,1,2,float16,False,10,2,0.03887939453125,6.8753662109375,7.563232421875,0,130.47909140586853,11.588006496429443
falcon-40b,2,1,2,float16,False,20,2,0.07273022333780925,6.88702392578125,7.563232421875,0,130.47909140586853,11.992355585098267
falcon-40b,2,1,1,int8,False,10,1,0.022134065628051758,4.7015380859375,5.391357421875,0,139.86184692382812,9.99435305595398
falcon-40b,2,1,1,int8,False,20,1,0.03952908515930176,4.7015380859375,5.391357421875,0,139.86184692382812,10.137779235839844
falcon-40b,2,1,2,int8,False,10,1,0.0277096430460612,5.3656005859375,6.055419921875,0,152.90738105773926,10.17412257194519
falcon-40b,2,1,2,int8,False,20,1,0.05039787292480469,5.3656005859375,6.055419921875,0,152.90738105773926,10.552201747894287
falcon-40b,2,1,1,int8,False,10,2,0.022516886393229168,4.9046630859375,5.633544921875,0,144.40396666526794,10.444880485534668
falcon-40b,2,1,1,int8,False,20,2,0.04011615117390951,4.9046630859375,5.633544921875,0,144.40396666526794,10.623908758163452
falcon-40b,2,1,2,int8,False,10,2,0.02815707524617513,5.5687255859375,6.297607421875,0,157.35489964485168,10.708441972732544
falcon-40b,2,1,2,int8,False,20,2,0.05132977167765299,5.5687255859375,6.297607421875,0,157.35489964485168,11.43341588973999
falcon-40b,2,1,1,int4,False,10,1,0.019799153010050457,4.3851318359375,5.074951171875,0,139.504798412323,10.073272466659546
falcon-40b,2,1,1,int4,False,20,1,0.03490710258483887,4.3851318359375,5.074951171875,0,139.504798412323,10.064414024353027
falcon-40b,2,1,2,int4,False,10,1,0.02304816246032715,4.7327880859375,5.422607421875,0,154.53713274002075,10.389323949813843
falcon-40b,2,1,2,int4,False,20,1,0.04108929634094238,4.7327880859375,5.422607421875,0,154.53713274002075,10.91068696975708
falcon-40b,2,1,1,int4,False,10,2,0.02025628089904785,4.5882568359375,5.317138671875,0,144.24275064468384,10.3005850315094
falcon-40b,2,1,1,int4,False,20,2,0.03591299057006836,4.5882568359375,5.317138671875,0,144.24275064468384,10.43809723854065
falcon-40b,2,1,2,int4,False,10,2,0.023719151814778645,4.9359130859375,5.664794921875,0,159.23698329925537,10.270989656448364
falcon-40b,2,1,2,int4,False,20,2,0.043874263763427734,4.9359130859375,5.664794921875,0,159.23698329925537,10.618885517120361
gptj-6b,1,1,1,float16,False,10,1,0.01736895243326823,1.58319091796875,1.65740966796875,26.807315587997437,35.94686841964722,7.973808765411377
gptj-6b,1,1,1,float16,False,20,1,0.03382690747578939,1.58319091796875,1.65740966796875,26.807315587997437,35.94686841964722,7.999445676803589
gptj-6b,1,1,2,float16,False,10,1,0.024026870727539062,1.96600341796875,2.04022216796875,42.10525679588318,37.452112436294556,7.462041139602661
gptj-6b,1,1,2,float16,False,20,1,0.04684734344482422,1.96600341796875,2.04022216796875,42.10525679588318,37.452112436294556,7.658391952514648
gptj-6b,1,1,1,float16,False,10,2,0.01748005549112956,1.66912841796875,1.74334716796875,0,34.38327240943909,7.289628744125366
gptj-6b,1,1,1,float16,False,20,2,0.03382412592569987,1.66912841796875,1.74334716796875,0,34.38327240943909,7.278872966766357
gptj-6b,1,1,2,float16,False,10,2,0.02422014872233073,2.05975341796875,2.13397216796875,0,39.3154993057251,8.614338636398315
gptj-6b,1,1,2,float16,False,20,2,0.04729151725769043,2.05975341796875,2.13397216796875,0,39.3154993057251,8.765400886535645
gptj-6b,1,1,1,int8,False,10,1,0.015103578567504883,1.39764404296875,1.47186279296875,0,41.83745861053467,7.170391798019409
gptj-6b,1,1,1,int8,False,20,1,0.027513504028320312,1.39764404296875,1.47186279296875,0,41.83745861053467,7.250160455703735
gptj-6b,1,1,2,int8,False,10,1,0.017932335535685223,1.58514404296875,1.65936279296875,0,45.92257332801819,7.4198079109191895
gptj-6b,1,1,2,int8,False,20,1,0.034700473149617515,1.58514404296875,1.65936279296875,0,45.92257332801819,7.4500274658203125
gptj-6b,1,1,1,int8,False,10,2,0.014401435852050781,1.48358154296875,1.55780029296875,0,44.617671966552734,7.195370435714722
gptj-6b,1,1,1,int8,False,20,2,0.027894099553426106,1.48358154296875,1.55780029296875,0,44.617671966552734,7.240370750427246
gptj-6b,1,1,2,int8,False,10,2,0.018124183019002277,1.67108154296875,1.74530029296875,0,49.05097150802612,7.381490707397461
gptj-6b,1,1,2,int8,False,20,2,0.0351409912109375,1.67108154296875,1.74530029296875,0,49.05097150802612,7.506192445755005
gptj-6b,1,1,1,int4,False,10,1,0.012846628824869791,1.30194091796875,1.37615966796875,0,42.586700677871704,7.569733619689941
gptj-6b,1,1,1,int4,False,20,1,0.02466098467508952,1.30194091796875,1.37615966796875,0,42.586700677871704,7.602545738220215
gptj-6b,1,1,2,int4,False,10,1,0.01500860850016276,1.39569091796875,1.46990966796875,0,46.73141384124756,7.1268205642700195
gptj-6b,1,1,2,int4,False,20,1,0.02902396519978841,1.39569091796875,1.46990966796875,0,46.73141384124756,7.145986795425415
gptj-6b,1,1,1,int4,False,10,2,0.01308139165242513,1.38787841796875,1.46209716796875,0,46.81246781349182,7.420996427536011
gptj-6b,1,1,1,int4,False,20,2,0.025121609369913738,1.38787841796875,1.46209716796875,0,46.81246781349182,7.647441387176514
gptj-6b,1,1,2,int4,False,10,2,0.016016642252604168,1.48358154296875,1.55780029296875,0,51.393983125686646,7.723757743835449
gptj-6b,1,1,2,int4,False,20,2,0.02949182192484538,1.48358154296875,1.55780029296875,0,51.393983125686646,7.714518070220947
gptj-6b,1,2,1 1,float16,False,10,1,0.024480501810709637,2.6839599609375,2.9456787109375,0,34.863199949264526,9.675560474395752
gptj-6b,1,2,1 1,float16,False,20,1,0.04808179537455241,2.6839599609375,2.9456787109375,0,34.863199949264526,9.638957738876343
gptj-6b,1,2,2 1,float16,False,10,1,0.031320412953694664,3.0667724609375,3.3284912109375,44.683947801589966,38.72035193443298,10.269339323043823
gptj-6b,1,2,2 1,float16,False,20,1,0.061391592025756836,3.0667724609375,3.3284912109375,44.683947801589966,38.72035193443298,10.847867727279663
gptj-6b,1,2,1 1,float16,False,10,2,0.02467187245686849,2.9027099609375,3.1644287109375,0,37.527305603027344,9.815113067626953
gptj-6b,1,2,1 1,float16,False,20,2,0.0487066904703776,2.9027099609375,3.1644287109375,0,37.527305603027344,9.928466796875
gptj-6b,1,2,2 1,float16,False,10,2,0.031029701232910156,3.2464599609375,3.5081787109375,0,38.8659565448761,10.066813468933105
gptj-6b,1,2,2 1,float16,False,20,2,0.06090068817138672,3.2464599609375,3.5081787109375,0,38.8659565448761,10.499679565429688
gptj-6b,1,2,1 1,int8,False,10,1,0.018422921498616535,2.3128662109375,2.5706787109375,0,45.60672330856323,9.503323078155518
gptj-6b,1,2,1 1,int8,False,20,1,0.0359194278717041,2.3128662109375,2.5706787109375,0,45.60672330856323,9.655333518981934
gptj-6b,1,2,2 1,int8,False,10,1,0.021595319112141926,2.5003662109375,2.7581787109375,0,49.964417695999146,9.605553388595581
gptj-6b,1,2,2 1,int8,False,20,1,0.042336066563924156,2.5003662109375,2.7581787109375,0,49.964417695999146,9.755802154541016
gptj-6b,1,2,1 1,int8,False,10,2,0.018817981084187824,2.4847412109375,2.7425537109375,0,48.17050647735596,9.823432207107544
gptj-6b,1,2,1 1,int8,False,20,2,0.03634333610534668,2.4847412109375,2.7425537109375,0,48.17050647735596,9.62541151046753
gptj-6b,1,2,2 1,int8,False,10,2,0.022007862726847332,2.6722412109375,2.9300537109375,0,52.4312539100647,9.65984296798706
gptj-6b,1,2,2 1,int8,False,20,2,0.04278882344563802,2.6722412109375,2.9300537109375,0,52.4312539100647,9.955254077911377
gptj-6b,1,2,1 1,int4,False,10,1,0.015897274017333984,2.1253662109375,2.3831787109375,0,47.022377729415894,9.730125665664673
gptj-6b,1,2,1 1,int4,False,20,1,0.03035394350687663,2.1253662109375,2.3831787109375,0,47.022377729415894,9.595683336257935
gptj-6b,1,2,2 1,int4,False,10,1,0.01748355229695638,2.2191162109375,2.4769287109375,0,49.60975098609924,9.633003950119019
gptj-6b,1,2,2 1,int4,False,20,1,0.0340574582417806,2.2191162109375,2.4769287109375,0,49.60975098609924,9.757326364517212
gptj-6b,1,2,1 1,int4,False,10,2,0.01617741584777832,2.2972412109375,2.5550537109375,0,48.59665250778198,9.534255266189575
gptj-6b,1,2,1 1,int4,False,20,2,0.031882921854654946,2.2972412109375,2.5550537109375,0,48.59665250778198,9.601812362670898
gptj-6b,1,2,2 1,int4,False,10,2,0.01791246732076009,2.3909912109375,2.6488037109375,0,53.884294271469116,9.419104099273682
gptj-6b,1,2,2 1,int4,False,20,2,0.03468592961629232,2.3909912109375,2.6488037109375,0,53.884294271469116,9.551852464675903
gptj-6b,2,1,1,float16,False,10,1,0.015445311864217123,2.5804443359375,3.281982421875,0,40.337799072265625,9.011805295944214
gptj-6b,2,1,1,float16,False,20,1,0.026055097579956055,2.5804443359375,3.281982421875,0,40.337799072265625,9.366996049880981
gptj-6b,2,1,2,float16,False,10,1,0.019299745559692383,2.9632568359375,3.666748046875,0,40.852246046066284,9.122221231460571
gptj-6b,2,1,2,float16,False,20,1,0.03379972775777181,2.9632568359375,3.666748046875,0,40.852246046066284,9.26707911491394
gptj-6b,2,1,1,float16,False,10,2,0.015566746393839518,2.6507568359375,3.387451171875,0,38.51915788650513,8.973068952560425
